(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(31, 31, 31)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(31, 31, 31)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)(16, 16, 16)\
