(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)\
(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)\
(30, 50, 80)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(127, 127, 127)(30, 50, 80)(30, 50, 80)(30, 50, 80)\
