(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)\
(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)\
(40, 60, 90)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(255, 255, 255)(40, 60, 90)(40, 60, 90)(40, 60, 90)\
