(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)\
(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)\
(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(168, 84, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(127, 127, 0)(0, 0, 0)(0, 0, 0)(0, 0, 0)\
