(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)(0, 63, 0)\
