(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(63, 63, 63)(63, 63, 63)(63, 63, 63)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)(31, 63, 0)\
