(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(0, 0, 0)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(31, 31, 31)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(48, 0, 64)(31, 31, 31)(31, 31, 31)(31, 31, 31)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(15, 15, 15)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(0, 31, 0)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(15, 12, 7)(0, 31, 0)(0, 31, 0)(0, 31, 0)\
