(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(255, 191, 0)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(63, 50, 31)(63, 50, 31)(255, 191, 0)(63, 50, 31)(63, 50, 31)(63, 50, 31)(255, 191, 0)(63, 50, 31)(63, 50, 31)(63, 50, 31)(255, 191, 0)(63, 50, 31)(63, 50, 31)(63, 50, 31)(255, 191, 0)(63, 50, 31)(63, 50, 31)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
